,,,,,
,취준 단계,오늘 상황,시간과 일정,추천 챌린지 (추천 결과 / 추가 추천 받기),플랜(추천 결과 / 추가 추천 받기)
,"""경험 정리가
필요해요""","경험은 있는데
 어디서부터 정리해야 할지 모르겠어요",가이드 따라 경험을 스스로 정리해볼게요,경험정리,베이직
,,,현직자 피드백 받으며 경험을 완성하고 싶어요,경험정리,스탠다드
,,,이력서 작성까지 연결해서 한 번에 해결하고 싶어요,경험정리 / 이력서,스탠다드 / 베이직
,,"이력서 제출이
 1주일도 안 남았어요",경험 정리 후 이력서를 최대한 빠르게 완성할게요,경험정리 / 이력서,베이직 / 베이직
,,,멘토 피드백 받으며 이력서까지 완성하고 싶어요,경험정리 / 이력서,베이직 / 스탠다드
,,,자소서까지 한꺼번에 준비하고 싶어요,경험정리 / 자기소개서,베이직 / 베이직
,,"서류 전체를
 한 번에 정비하고 싶어요",자소서·포폴을 가이드로 빠르게 정비할게요,자소서 / 포트폴리오,베이직 / 베이직
,,,멘토 피드백 받으며 자소서를 완성하고 싶어요,자소서,스탠다드
,,,포트폴리오까지 피드백 받아 완성하고 싶어요,포트폴리오,스탠다드
,"""이력서부터 빠르게
완성하고 싶어요""","첫 이력서라
 쓸 소재가 부족해요",이번 주 안에 일단 초안을 완성할게요,이력서 / 경험정리,베이직 / 베이직
,,,2~3주 안에 멘토 피드백 받으며 완성하고 싶어요,이력서 / 경험정리,스탠다드 / 스탠다드
,,,한 달 여유로 경험 정리부터 탄탄하게 시작할게요,경험정리 / 이력서,스탠다드 / 베이직
,,"기존 이력서를
 다시 다듬으려고 해요",이번 주 안에 빠르게 수정·완성할게요,이력서,베이직
,,,2~3주 안에 멘토 피드백으로 완성도를 높이고 싶어요,이력서,스탠다드
,,,한 달 여유로 이력서를 제대로 새로 써보고 싶어요,이력서,스탠다드
,,"직무/산업 전환으로
 이력서를 새로 써야 해요",이번 주 안에 새 직무 이력서를 완성할게요,이력서,베이직 / 스탠다드
,,,2~3주 안에 자소서까지 함께 완성하고 싶어요,이력서 / 자소서,스탠다드 / 스탠다드
