도메인	라우트	페이지/컴포넌트	기능	동작 설명
멘토 마이페이지	/mentor	SchedulePage (프로그램 일정)	주간 피드백 대시보드	주간 캘린더에 미션별 기간 막대 시각화, 피드백 상태(시작전/진행중/완료) 색상 표시, 주간 통계(총 멘티수, 마감수, 완료율) 카드 표시
멘토 마이페이지	/mentor	SchedulePage > WeekNavigation	주간 네비게이션	이전/다음 주 이동 버튼, 현재 주 날짜 범위 표시
멘토 마이페이지	/mentor	SchedulePage > ChallengeFilter	챌린지 필터	전체/개별 챌린지 필터 버튼으로 표시할 미션 필터링
멘토 마이페이지	/mentor	SchedulePage > ChallengePeriodBar	미션 기간 막대 클릭	막대 클릭 시 해당 미션의 피드백 모달 열림
멘토 마이페이지	/mentor/challenges	ChallengeListPage (챌린지 목록)	챌린지 목록 조회	참여중/완료 챌린지를 카드 형태로 표시, 상태 배지(준비중/진행중/완료), 기간 표시
멘토 마이페이지	/mentor/challenges/[id]	ChallengeDetailPage (챌린지 상세)	미션별 피드백 현황 조회	미션 회차별 제출 통계, 피드백 완료 통계, 상태 배지(시작전/진행중/완료) 표시
멘토 마이페이지	/mentor/challenges/[id]	ChallengeDetailPage > 피드백 작성 버튼	피드백 모달 열기	미션별 "피드백 작성" 버튼 클릭 시 FeedbackModal 열림
멘토 마이페이지	(모달)	FeedbackModal > MenteeList	멘티 목록 조회	좌측에 멘티 이름 목록 + 피드백 상태 배지(시작전/진행중/완료), 미제출 표시
멘토 마이페이지	(모달)	FeedbackModal > MenteeInfo	멘티 정보 카드	멘티 이름, 제출 상태, 제출물 링크, 희망 직군/산업/기업 표시
멘토 마이페이지	(모달)	FeedbackModal > FeedbackEditor	피드백 작성	Lexical 리치 텍스트 에디터로 피드백 작성, 완료 상태면 읽기 전용
멘토 마이페이지	(모달)	FeedbackModal > FeedbackActions	피드백 임시저장	IN_PROGRESS 상태로 저장, 수정 가능 상태 유지
멘토 마이페이지	(모달)	FeedbackModal > FeedbackActions	피드백 최종 제출	확인 다이얼로그 후 COMPLETED 상태로 저장, 이후 읽기 전용 전환
멘토 마이페이지	(모달)	FeedbackModal	이전/다음 멘티 이동	멘티 간 이동, 미저장 변경사항 있으면 확인 다이얼로그 표시
멘토 마이페이지	(모달)	FeedbackModal 헤더	피드백 통계 표시	챌린지명 · N차 피드백, 총 N명 / 시작전 N명 · 진행중 N명 · 완료 N명
멘토 마이페이지	/mentor/profile	ProfilePage > BasicInfo	기본정보 수정	이름, 활동명, 전화번호, SNS, 이메일 입력/수정
멘토 마이페이지	/mentor/profile	ProfilePage > BasicInfo	프로필 이미지 업로드	파일 선택 → 크기 검증(5MB) → 업로드 → URL 저장, 삭제 가능
멘토 마이페이지	/mentor/profile	ProfilePage > Introduction	한줄 소개 수정	Textarea로 한줄 소개 입력/수정
멘토 마이페이지	/mentor/profile	ProfilePage > CareerSection	경력 CRUD	경력 목록 조회(20개 단위), 새 경력 추가, 기존 경력 수정/삭제
멘토 마이페이지	/mentor/profile	ProfilePage	프로필 저장	변경사항 감지하여 저장 버튼 활성화, 페이지 이탈 시 미저장 경고
멘토 마이페이지	/mentor/notice	NoticeListPage (공지사항)	공지사항 목록 조회	참여 챌린지별 공지사항 목록, 상대 날짜 표시(오늘, 1일 전 등)
멘토 마이페이지	/mentor/notice/[id]	NoticeDetailPage (공지 상세)	공지사항 상세 조회	제목, 링크 바로가기 버튼, 뒤로가기
멘토 마이페이지	/mentor/layout	MentorGuard	멘토 권한 확인	멘토 여부 확인, 비멘토면 홈으로 리다이렉트
멘토 마이페이지	/mentor/layout	MentorSidebar	사이드바 네비게이션	프로그램 일정, 참여중인 챌린지, 프로필, 공지사항 메뉴
어드민	/admin/challenge/feedback-operation	FeedbackOperationPage	피드백 운영 탭 전환	"공지사항" / "진행중 챌린지" 탭 전환
어드민	/admin/challenge/feedback-operation	MentorNoticeManagement (공지 탭)	챌린지/멘토 선택	드롭다운에서 챌린지 선택 → 해당 챌린지의 멘토 목록 표시 → 멘토 선택
어드민	/admin/challenge/feedback-operation	MentorNoticeManagement (공지 탭)	공지 CRUD	공지 등록(제목/링크), 수정, 삭제. DataGrid 테이블로 관리, 제목/링크 검색
어드민	/admin/challenge/feedback-operation	OngoingChallenges (진행중 탭)	진행중 챌린지 목록 조회	챌린지명, 피드백 미션 회차, 챌린지 기간, 피드백 기간, 상태(진행전/진행중/완료), 담당 멘토, 바로가기 링크 표시
어드민	/admin/challenge/operation/[id]/feedback	ChallengeOperationFeedbackPage	피드백 관리 탭 전환	"멘토/멘티 배정" / "피드백 관리" 탭 전환
어드민	/admin/challenge/operation/[id]/feedback	MentorMenteeAssignment (배정 탭)	등록된 멘토 정보 표시	멘토명 + 경력(회사/직무) 색상 배지, 멘토별 배정 멘티 수 표시
어드민	/admin/challenge/operation/[id]/feedback	MentorMenteeAssignment (배정 탭)	개별 멘토 배정	참여자 행마다 멘토 선택 드롭다운 → 배정 버튼으로 저장
어드민	/admin/challenge/operation/[id]/feedback	MentorMenteeAssignment (배정 탭)	일괄 멘토 배정	체크박스로 멘티 다중 선택 → 상단 드롭다운에서 멘토 선택 → "일괄 지정" 버튼
어드민	/admin/challenge/operation/[id]/feedback	MentorMenteeAssignment (배정 탭)	멘토 배정 해제	드롭다운에서 "없음" 선택으로 배정 해제
어드민	/admin/challenge/operation/[id]/feedback	피드백 관리 탭 > 미션 목록	미션별 피드백 현황 조회	미션명, 회차, 공개일/마감일, 피드백 옵션, 제출수/확인완료수, 피드백 마감기간(마감일+3일) 표시
어드민	/admin/challenge/operation/[id]/feedback	피드백 관리 탭 > 제출 현황	미션별 제출자 관리	담당 멘토 드롭다운 변경, 참여자 이름/전공/희망기업/직무, 제출 링크, 피드백 작성 바로가기, 진행 상태 드롭다운 변경
어드민	/admin/challenge/[id]/edit	ChallengeEdit > 멘토 등록 섹션	챌린지 멘토 등록/수정	멘토 다중 선택으로 등록, 저장 시 기존 멘토와 비교하여 추가/삭제 처리
